Force_f,Average_r,Average_n,Std_r,Std_n
0.0,0.0,0.0,0.0,0.0
0.01001001001001001,0.23198602074908975,0.0,1.7665589477065113e-09,0.0
0.02002002002002002,0.4639720414981795,0.0,3.5331178954130226e-09,0.0
0.03003003003003003,0.6959580622472631,0.0,5.299676836887777e-09,0.0
0.04004004004004004,0.927944082996359,0.0,7.066235790826045e-09,0.0
0.050050050050050046,1.159930103745448,0.0,8.832794693529586e-09,0.0
0.06006006006006006,1.3919161244945262,0.0,1.0599353673775554e-08,0.0
0.07007007007007007,1.6239021452436224,0.0,1.2365912656790325e-08,0.0
0.08008008008008008,1.855888165992718,0.0,1.413247158165209e-08,0.0
0.09009009009009009,2.087874186741794,0.0,1.5899030564664802e-08,0.0
0.10010010010010009,2.319860207490896,0.0,1.7665589387059172e-08,0.0
0.11011011011011011,2.536367893777784,0.0,1.6222325716355754e-08,0.0
0.12012012012012012,2.7513277466184367,0.0,1.4459167192433692e-08,0.0
0.13013013013013014,2.9662875994591174,0.0,1.269760863452481e-08,0.0
0.14014014014014015,3.1812474522997674,0.0,1.093842264119304e-08,0.0
0.15015015015015015,3.3962073051404613,0.0,9.182972808857308e-09,0.0
0.16016016016016016,3.6111671579811127,0.0,7.433907180006682e-09,0.0
0.17017017017017017,3.8261270108217538,0.0,5.69710757674012e-09,0.0
0.18018018018018017,4.041086863662453,0.0,3.988630792997493e-09,0.0
0.19019019019019018,4.256046716503117,0.0,2.3705263203943578e-09,0.0
0.20020020020020018,4.471006569343767,0.0,1.260036995606584e-09,0.0
0.21021021021021022,4.671691010871149,0.0,1.5737225772854543e-09,0.0
0.22022022022022023,4.86920313877332,0.0,2.620235115746639e-09,0.0
0.23023023023023023,5.066715266675451,0.0,3.847846617324232e-09,0.0
0.24024024024024024,5.2642273945776275,0.0,5.128106339132357e-09,0.0
0.2502502502502503,5.461739522479824,0.0,6.4296413343773915e-09,0.0
0.2602602602602603,5.659251650381993,0.0,7.741728717944789e-09,0.0
