r,r1,r2,r3,r4,r5,r6,r7,r8,n1,n2,n3,n4,n5,n6,n7,n8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.776753507014028,0.05711422845691382,0.06853707414829659,0.07995991983967936,0.09138276553106213,0.10280561122244487,0.11422845691382764,0.1256513026052104,0.13707414829659317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.553507014028056,0.11422845691382764,0.13707414829659317,0.15991983967935872,0.18276553106212426,0.20561122244488975,0.2284569138276553,0.2513026052104208,0.27414829659318635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.330260521042084,0.1713426853707415,0.20561122244488977,0.23987975951903806,0.27414829659318635,0.3084168336673347,0.342685370741483,0.3769539078156312,0.41122244488977955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.107014028056112,0.2284569138276553,0.27414829659318635,0.31983967935871743,0.3655310621242485,0.4112224448897795,0.4569138276553106,0.5026052104208416,0.5482965931863727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.88376753507014,0.2855711422845691,0.342685370741483,0.39979959919839675,0.4569138276553106,0.5140280561122244,0.5711422845691382,0.6282565130260521,0.685370741482966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.660521042084168,0.342685370741483,0.41122244488977955,0.4797595190380761,0.5482965931863727,0.6168336673346694,0.685370741482966,0.7539078156312624,0.8224448897795591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.437274549098196,0.39979959919839675,0.4797595190380761,0.5597194388777554,0.6396793587174349,0.7196392785571141,0.7995991983967935,0.8795591182364728,0.9595190380761522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.214028056112224,0.4569138276553106,0.5482965931863727,0.6396793587174349,0.731062124248497,0.822444889779559,0.9138276553106212,1.0052104208416832,1.0965931863727454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.990781563126252,0.5140280561122245,0.6168336673346694,0.7196392785571143,0.8224448897795591,0.925250501002004,1.028056112224449,1.1308617234468938,1.2336673346693388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.76753507014028,0.5711422845691382,0.685370741482966,0.7995991983967935,0.9138276553106212,1.0280561122244487,1.1422845691382764,1.2565130260521042,1.370741482965932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.544288577154308,0.6282565130260521,0.7539078156312624,0.8795591182364729,1.0052104208416832,1.1308617234468936,1.2565130260521042,1.3821643286573146,1.5078156312625248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
