r,r1,r2,r3,r4,n1,n2,n3,n4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1996996996996997,0.028528528528528527,0.04279279279279279,0.057057057057057055,0.07132132132132132,0.0,0.0,0.0,0.0
0.3993993993993994,0.057057057057057055,0.08558558558558559,0.11411411411411411,0.14264264264264265,0.0,0.0,0.0,0.0
0.5990990990990991,0.08558558558558559,0.12837837837837837,0.17117117117117117,0.21396396396396392,0.0,0.0,0.0,0.0
0.7987987987987988,0.11411411411411411,0.17117117117117117,0.22822822822822822,0.2852852852852853,0.0,0.0,0.0,0.0
0.9984984984984985,0.14264264264264265,0.21396396396396394,0.2852852852852853,0.3566066066066066,0.0,0.0,0.0,0.0
1.1981981981981982,0.17117117117117117,0.25675675675675674,0.34234234234234234,0.42792792792792783,0.0,0.0,0.0,0.0
1.3978978978978978,0.19969969969969967,0.2995495495495495,0.39939939939939934,0.49924924924924935,0.0,0.0,0.0,0.0
1.5975975975975976,0.22822822822822822,0.34234234234234234,0.45645645645645644,0.5705705705705706,0.0,0.0,0.0,0.0
1.7972972972972974,0.25675675675675674,0.3851351351351352,0.5135135135135135,0.6418918918918918,0.0,0.0,0.0,0.0
1.996996996996997,0.2852852852852853,0.4279279279279279,0.5705705705705706,0.7132132132132132,0.0,0.0,0.0,0.0
2.1966966966966965,0.3138138138138138,0.4707207207207207,0.6276276276276276,0.7845345345345345,0.0,0.0,0.0,0.0
2.3963963963963963,0.34234234234234234,0.5135135135135135,0.6846846846846847,0.8558558558558557,0.0,0.0,0.0,0.0
2.596096096096096,0.37087087087087084,0.5563063063063063,0.7417417417417417,0.9271771771771772,0.0,0.0,0.0,0.0
2.7957957957957955,0.39939939939939934,0.599099099099099,0.7987987987987987,0.9984984984984987,0.0,0.0,0.0,0.0
2.9954954954954953,0.4279279279279279,0.6418918918918919,0.8558558558558558,1.0698198198198199,0.0,0.0,0.0,0.0
