r,r1,n1,n2,r2
0.0,0.0,0.0,0.0,0.0
0.07655155155155155,0.03328328328328328,0.0,0.0,0.04326826826826827
0.1531031031031031,0.06656656656656657,0.0,0.0,0.08653653653653653
0.22965465465465465,0.09984984984984985,0.0,0.0,0.1298048048048048
0.3062062062062062,0.13313313313313313,0.0,0.0,0.17307307307307307
0.3827577577577578,0.1664164164164164,0.0,0.0,0.21634134134134136
0.4593093093093093,0.1996996996996997,0.0,0.0,0.2596096096096096
0.5358608608608608,0.23298298298298298,0.0,0.0,0.30287787787787784
0.6124124124124124,0.26626626626626626,0.0,0.0,0.34614614614614614
0.688963963963964,0.29954954954954954,0.0,0.0,0.38941441441441443
0.7655155155155156,0.3328328328328328,0.0,0.0,0.43268268268268273
0.842067067067067,0.3661161161161161,0.0,0.0,0.4759509509509509
0.9186186186186186,0.3993993993993994,0.0,0.0,0.5192192192192192
0.9951701701701702,0.4326826826826827,0.0,0.0,0.5624874874874874
1.0717217217217216,0.46596596596596596,0.0,0.0,0.6057557557557557
1.1482732732732732,0.4992492492492492,0.0,0.0,0.649024024024024
1.2248248248248248,0.5325325325325325,0.0,0.0,0.6922922922922923
1.3013763763763764,0.5658158158158159,0.0,0.0,0.7355605605605605
1.377927927927928,0.5990990990990991,0.0,0.0,0.7788288288288289
1.4544794794794795,0.6323823823823824,0.0,0.0,0.8220970970970971
1.531031031031031,0.6656656656656657,0.0,0.0,0.8653653653653655
1.6075825825825825,0.6989489489489489,0.0,0.0,0.9086336336336336
1.684134134134134,0.7322322322322322,0.0,0.0,0.9519019019019018
1.7606856856856856,0.7655155155155156,0.0,0.0,0.9951701701701701
1.8372372372372372,0.7987987987987988,0.0,0.0,1.0384384384384384
1.9137887887887888,0.8320820820820821,0.0,0.0,1.0817067067067065
1.9903403403403404,0.8653653653653653,0.0,0.0,1.124974974974975
2.066891891891892,0.8986486486486487,0.0,0.0,1.1682432432432432
2.1434434434434433,0.9319319319319319,0.0,0.0,1.2115115115115114
2.219994994994995,0.9652152152152152,0.0,0.0,1.25477977977978
2.2965465465465464,0.9984984984984984,0.0,0.0,1.298048048048048
2.3730980980980982,1.0317817817817818,0.0,0.0,1.3413163163163164
2.4496496496496496,1.065065065065065,0.0,0.0,1.3845845845845846
2.526201201201201,1.0983483483483483,0.0,0.0,1.4278528528528527
2.6027527527527528,1.1316316316316317,0.0,0.0,1.471121121121121
2.679304304304304,1.164914914914915,0.0,0.0,1.5143893893893892
2.755855855855856,1.1981981981981982,0.0,0.0,1.5576576576576577
2.8324074074074073,1.2314814814814814,0.0,0.0,1.6009259259259259
2.908958958958959,1.2647647647647648,0.0,0.0,1.6441941941941942
2.9855105105105104,1.298048048048048,0.0,0.0,1.6874624624624623
