r,r1,r2,n1,n2
0.0,0.0,0.0,0.0,0.0
0.0832082082082082,0.03328333629711713,0.04992487191109107,0.0,0.0
0.1664164164164164,0.0665665495784306,0.09984986683798582,0.0,0.0
0.24962462462462462,0.0998498371639291,0.1497747874606955,0.0,0.0
0.3328328328328328,0.13313284956333346,0.19969998326949936,0.0,0.0
0.416041041041041,0.16641644155170576,0.24962459948933524,0.0,0.0
0.49924924924924924,0.19969968078841438,0.29954956846083486,0.0,0.0
0.5824574574574575,0.23298253241296898,0.3494749250444885,0.0,0.0
0.6656656656656657,0.2662662747987672,0.39939939086689846,0.0,0.0
0.7488738738738738,0.2995495617304221,0.44932431214345175,0.0,0.0
0.832082082082082,0.33283288235669767,0.49924919972538434,0.0,0.0
0.9152902902902903,0.36611612419551215,0.5491741660947782,0.0,0.0
0.9984984984984985,0.3993994130140711,0.5990990854844274,0.0,0.0
1.0817067067067068,0.4326828066401551,0.6490239000665516,0.0,0.0
1.164914914914915,0.4659660674754976,0.6989488474394173,0.0,0.0
1.2481231231231231,0.49924926930663754,0.7488738538164856,0.0,0.0
1.3313313313313313,0.5325324426632992,0.7987988886680321,0.0,0.0
1.4145395395395395,0.5658158139333358,0.8487237256062037,0.0,0.0
1.4977477477477477,0.59909902498464,0.8986487227631077,0.0,0.0
1.5809559559559558,0.6323824604540631,0.9485734955018927,0.0,0.0
1.664164164164164,0.6656656185584154,0.9984985456057486,0.0,0.0
1.7473723723723724,0.6989489926866217,1.0484233796857507,0.0,0.0
1.8305805805805806,0.7322320032239894,1.098348577356591,0.0,0.0
1.9137887887887888,0.7655154392987804,1.1482733494900084,0.0,0.0
1.996996996996997,0.7987989573444705,1.1981980396525265,0.0,0.0
2.080205205205205,0.8320817999211197,1.2481234052840855,0.0,0.0
2.1634134134134135,0.8653653755543358,1.2980480378590777,0.0,0.0
2.2466216216216215,0.8986486837468046,1.3479729378748169,0.0,0.0
2.32982982982983,0.9319319950082264,1.3978978348216033,0.0,0.0
2.413038038038038,0.9652152802970595,1.4478227577409783,0.0,0.0
2.4962462462462462,0.9984985547002876,1.4977476915459587,0.0,0.0
2.579454454454454,1.031781814385442,1.5476726400690122,0.0,0.0
2.6626626626626626,1.0650652785303845,1.5975973841322781,0.0,0.0
2.745870870870871,1.0983484086773443,1.6475224621935267,0.0,0.0
2.829079079079079,1.131631939179282,1.697447139899797,0.0,0.0
2.9122872872872874,1.1649149301842439,1.7473723571030435,0.0,0.0
2.9954954954954953,1.19819812656229,1.7972973689332052,0.0,0.0
3.0787037037037037,1.2314813943745673,1.8472223093291364,0.0,0.0
3.1619119119119117,1.2647646622715114,1.8971472496404003,0.0,0.0
3.24512012012012,1.298047907608521,1.9470722125115991,0.0,0.0
3.328328328328328,1.3313311676375252,1.9969971606908028,0.0,0.0
3.4115365365365364,1.3646145689014035,2.046921967635133,0.0,0.0
3.494744744744745,1.39789764922516,2.0968470955195846,0.0,0.0
3.577952952952953,1.4311808938087691,2.1467720591441837,0.0,0.0
3.661161161161161,1.4644641343602738,2.196697026800887,0.0,0.0
3.744369369369369,1.4977478966614701,2.246621472707899,0.0,0.0
3.8275775775775776,1.5310312191883184,2.296546358389259,0.0,0.0
3.9107857857857855,1.5643141762255401,2.346471609560245,0.0,0.0
3.993993993993994,1.597597599557336,2.3963963944366578,0.0,0.0
4.077202202202202,1.6308809899284924,2.44632121227371,0.0,0.0
4.16041041041041,1.6641640606577823,2.496246349752628,0.0,0.0
4.243618618618618,1.6974473296057095,2.546171289012909,0.0,0.0
4.326826826826827,1.7307305440598613,2.5960962827669656,0.0,0.0
4.410035035035035,1.764013914747777,2.646021120287258,0.0,0.0
4.493243243243243,1.7972971891400038,2.6959460541032394,0.0,0.0
4.576451451451451,1.830580465300931,2.74587098615052,0.0,0.0
4.65965965965966,1.8638639999767537,2.795795659682906,0.0,0.0
4.742867867867868,1.8971468457345892,2.8457210221332785,0.0,0.0
4.826076076076076,1.9304300636690068,2.895646012407069,0.0,0.0
4.9092842842842845,1.9637134407198682,2.9455708435644166,0.0,0.0
4.9924924924924925,1.9969971351660878,2.995495357326405,0.0,0.0
5.0757007007007005,2.0302802939384903,3.04542040676221,0.0,0.0
5.158908908908908,2.0635634617940766,3.095345447114832,0.0,0.0
5.242117117117117,2.0968467470376275,3.1452703700794897,0.0,0.0
5.325325325325325,2.130130049929167,3.1951952753961583,0.0,0.0
5.408533533533533,2.163413296520126,3.245120237013407,0.0,0.0
5.491741741741742,2.1966969208073457,3.2950448209343963,0.0,0.0
5.57494994994995,2.2299798223834957,3.3449701275664543,0.0,0.0
5.658158158158158,2.2632633751413955,3.3948947830167624,0.0,0.0
5.741366366366366,2.296546382502982,3.444819983863384,0.0,0.0
5.824574574574575,2.3298296087681076,3.494744965806467,0.0,0.0
5.907782782782783,2.3631129815644525,3.54466980121833,0.0,0.0
5.990990990990991,2.3963961293043186,3.594594861686672,0.0,0.0
6.0741991991991995,2.429679825615558,3.6445193735836416,0.0,0.0
6.157407407407407,2.4629627004151864,3.694444706992221,0.0,0.0
6.240615615615615,2.4962460312088455,3.74436958440677,0.0,0.0
6.323823823823823,2.5295294005069717,3.7942944233168516,0.0,0.0
6.407032032032032,2.562812766548132,3.8442192654839,0.0,0.0
6.49024024024024,2.596096215416466,3.894144024823774,0.0,0.0
6.573448448448448,2.6293792330168038,3.9440692154316443,0.0,0.0
6.656656656656656,2.6626626131825017,3.9939940434741543,0.0,0.0
6.739864864864865,2.6959459398312777,4.043918925033587,0.0,0.0
6.823073073073073,2.729229420302817,4.093843652770255,0.0,0.0
6.906281281281281,2.7625126465233185,4.143768634757962,0.0,0.0
6.98948948948949,2.7957960824401518,4.193693407049338,0.0,0.0
7.072697697697698,2.8290791217504876,4.24361857594721,0.0,0.0
7.155905905905906,2.8623624969600088,4.293543408945897,0.0,0.0
7.2391141141141135,2.895645693335279,4.3434684207788345,0.0,0.0
7.322322322322322,2.928928792379957,4.393393529942365,0.0,0.0
7.40553053053053,2.9622122603462855,4.443318270184244,0.0,0.0
7.488738738738738,2.9954955437696493,4.493243194969089,0.0,0.0
7.571946946946947,3.0287789106364618,4.543168036310485,0.0,0.0
7.655155155155155,3.0620621101855274,4.593093044969628,0.0,0.0
7.738363363363363,3.0953455227467734,4.64301784061659,0.0,0.0
7.821571571571571,3.128628806116141,4.69294276545543,0.0,0.0
7.90477977977978,3.161912037889968,4.742867741889812,0.0,0.0
7.987987987987988,3.195195370058137,4.792792617929851,0.0,0.0
8.071196196196196,3.228478603148651,4.842717593047545,0.0,0.0
8.154404404404405,3.261761883677948,4.892642520726456,0.0,0.0
8.237612612612612,3.295045097819323,4.942567514793289,0.0,0.0
8.32082082082082,3.32832832807833,4.992492492742491,0.0,0.0
8.40402902902903,3.3616117295975743,5.042417299431455,0.0,0.0
8.487237237237236,3.394894973481671,5.092342263755565,0.0,0.0
8.570445445445445,3.428178293905383,5.142267151540063,0.0,0.0
8.653653653653654,3.461461517527293,5.192192136126361,0.0,0.0
8.736861861861861,3.4947448013008526,5.242117060561009,0.0,0.0
8.82007007007007,3.5280280891532008,5.292041980916869,0.0,0.0
8.903278278278279,3.5613114240486463,5.341966854229632,0.0,0.0
8.986486486486486,3.5945946510272115,5.391891835459274,0.0,0.0
9.069694694694695,3.6278779353125405,5.441816759382155,0.0,0.0
9.152902902902902,3.6611612194447782,5.491741683458123,0.0,0.0
9.23611111111111,3.6944444449295193,5.541666666181591,0.0,0.0
9.31931931931932,3.7277277279613186,5.591591591358001,0.0,0.0
9.402527527527527,3.761011070329701,5.641516457197826,0.0,0.0
9.485735735735735,3.794294354515131,5.691441381220605,0.0,0.0
9.568943943943944,3.827577638001548,5.741366305942396,0.0,0.0
9.652152152152151,3.8608609216399015,5.79129123051225,0.0,0.0
9.73536036036036,3.8941442054943427,5.841216154866018,0.0,0.0
9.818568568568569,3.927427489026385,5.891141079542184,0.0,0.0
9.901776776776776,3.960710774603238,5.941066002173538,0.0,0.0
9.984984984984985,3.993993998124092,5.9909909868608935,0.0,0.0
10.068193193193194,4.027277346804554,6.04091584638864,0.0,0.0
10.151401401401401,4.060560569369588,6.090840832031813,0.0,0.0
10.23460960960961,4.090127178508606,6.144482431101004,0.0,0.00025241547800175583
10.317817817817817,4.106816314593425,6.2110015032243915,0.0,0.0013737898324677643
10.401026026026026,4.122949836763721,6.278076189262305,0.0,0.0025238512135978327
10.484234234234235,4.138552066490064,6.345682167744171,0.0,0.0037010817892933335
10.567442442442442,4.153622849735792,6.413819592706649,0.0,0.00490563334276413
10.65065065065065,4.168186817182769,6.4824638334678815,0.0,0.006135988041911594
10.73385885885886,4.182255608405776,6.551603250453083,0.0,0.007391538753896275
10.817067067067066,4.195845297289502,6.621221769777565,0.0,0.008671374779458996
10.900275275275275,4.214621072367351,6.685654202907924,0.00026508937602529557,0.009869247871695833
10.983483483483484,4.243300348995993,6.740183134487491,0.001007385163859082,0.010892266706170778
11.066691691691691,4.27192561599529,6.794766075696401,0.0017561317381120354,0.011924696099657215
11.1498998998999,4.3005027378161556,6.849397162083744,0.0025111014239693617,0.012965928919315688
11.233108108108107,4.329032136660732,6.904075971447375,0.003271990655011335,0.014015661598726477
11.316316316316316,4.357511424540306,6.95880489177601,0.004038344081608368,0.015073590571469855
11.399524524524525,4.385943209687597,7.0135813148369275,0.004810009920550597,0.0161394122711261
11.482732732732732,4.414334518561438,7.068398214171293,0.005586836388628159,0.01721251956485575
11.56594094094094,4.4426717205738315,7.123269220367109,0.006368216353001603,0.01829321601907854
11.64914914914915,4.470973492154376,7.178175656994774,0.007154453380090658,0.019380590934535293
11.732357357357357,4.49922614307782,7.2331312142795365,0.007944940337055867,0.02047494787764573
11.815565565565565,4.527439052230452,7.288126513335113,0.008739677223897235,0.02157567971557041
11.898773773773774,4.554172070474189,7.344601703299586,0.009475218658892129,0.02271162525818324
11.981981981981981,4.583727497371655,7.398254484610327,0.010340382955109811,0.02379596450944274
12.06519019019019,4.611693953811501,7.453496236378689,0.011141191170345689,0.02491733886390875
12.148398398398399,4.639872650275791,7.508525748122608,0.011955963440888942,0.02603871321837475
12.231606606606606,4.667879620225853,7.563726986380753,0.012768610746494113,0.027168587432593073
12.314814814814815,4.69585703461335,7.618957780201465,0.013584597282716264,0.028303318709527004
12.398023023023022,4.7237765478630935,7.674246475159928,0.014402708783876493,0.029443514182015997
12.48123123123123,4.751681050729233,7.729550180501998,0.01522446308207343,0.030587959584381142
12.56443943943944,4.779523357632994,7.784916081806446,0.01604803877878872,0.03173786918230135
12.647647647647647,4.804735243628371,7.842912404019276,0.016763848396501458,0.03294606353280885
12.730855855855856,4.835063028006906,7.8957928278489495,0.017700957934194086,0.03405165243344914
12.814064064064064,4.86285655760607,7.951207506457995,0.018533944189920864,0.0352130975553189
12.897272272272271,4.890559162528668,8.006713109743604,0.019366930445647645,0.036380006872743745
12.98048048048048,4.918242797038468,8.062237683442012,0.020202648799151957,0.03755055898720528
13.06368868868869,4.945873824354504,8.117814864334186,0.021039581418335167,0.038725361031542976
13.146896896896896,4.973529459508819,8.173367437388077,0.021880763967394534,0.039902591607238476
13.230105105105105,5.001035922019609,8.229069183085496,0.02271891085225665,0.04108589351132849
13.313313313313312,5.028557452724266,8.284755860589046,0.02356070053415547,0.042271623946776304
13.396521521521521,5.056041227837916,8.340480293683605,0.024404008048152917,0.04346099717926083
13.47972972972973,5.089836841309816,8.389892888419915,0.02551020408163265,0.04451801545274503
13.562937937937937,5.114420060010627,8.44851787792731,0.026239067055393583,0.04577417329756915
13.646146146146146,5.138187639243562,8.507958506902582,0.026938180520021417,0.047050973658934625
13.729354354354355,5.165597943756496,8.563756410597858,0.02778938076093173,0.048251882415368715
13.812562562562562,5.1929120979974925,8.61965046456507,0.028639063169743413,0.049457041101678964
13.89577077077077,5.220145213013043,8.675625557757726,0.029488138445715642,0.05066644971786537
13.97897897897898,5.247379212588357,8.731599766390623,0.030339338686625958,0.051877679732570126
14.062187187187186,5.278270896809356,8.783916290377832,0.03134110787172011,0.053011803876664605
14.145395395395395,5.301637201005043,8.843758194390352,0.03204022133634795,0.05431106815308975
14.228603603603604,5.328822428350982,8.899781175252622,0.03289627863997387,0.05552958376186794
14.311811811811811,5.355554013533148,8.956257798278664,0.03373594335693461,0.056759634894595665
14.39502002002002,5.3829141378967265,9.012105882123294,0.034603232618090375,0.057978150503373835
14.478228228228227,5.409908983034398,9.06831924519383,0.035457772089617666,0.05920638023758322
14.561436436436436,5.440122647468529,9.121313788967907,0.03644314868804664,0.060366003960934646
14.644644644644645,5.463884782909413,9.180759861735233,0.03717201166180758,0.061668303901557045
14.727852852852852,5.49060540902256,9.237247443830292,0.03802108693777981,0.06290746202687655
